0,230,1,1
S4.3
0.0,500.0,1,1
50.0,480.0,1,1
100.0,460.0,1,1
150.0,440.0,1,1
200.0,420.0,1,1
300.0,380.0,1,1
350.0,360.0,1,1
560.0,360.0,1,1
690.0,280.0,1,1
450.0,460.0,1,1
250.0,400.0,1,4
400.0,480.0,1,1
500.0,480.0,1,1
550.0,460.0,1,1
600.0,480.0,1,1
430.0,270.0,1,1
530.0,190.0,1,1
630.0,130.0,1,1
690.0,430.0,1,1
690.0,510.0,1,1
690.0,360.0,1,1
690.0,200.0,1,1
760.0,130.0,1,1
1060.0,430.0,1,1
960.0,280.0,1,2
870.0,210.0,1,1
920.0,240.0,1,1
1010.0,370.0,1,1
300.0,580.0,3,1
460.0,580.0,1,1
530.0,580.0,1,1
600.0,580.0,1,1
670.0,580.0,1,1
740.0,580.0,1,1
810.0,580.0,1,1
880.0,580.0,1,1
950.0,580.0,1,1
1020.0,580.0,1,1
1150.0,430.0,1,1
1230.0,370.0,1,1
1330.0,310.0,1,1
1090.0,580.0,1,1
1160.0,580.0,1,1
1230.0,580.0,1,1
1300.0,580.0,1,1
1370.0,580.0,1,1
1370.0,370.0,1,3
1440.0,580.0,1,1
1410.0,230.0,1,1
1510.0,580.0,1,1
1580.0,580.0,1,1
1650.0,580.0,1,1
1720.0,580.0,1,1
1790.0,580.0,1,1
1860.0,580.0,1,1
1930.0,580.0,1,1
1420.0,470.0,8,1
1930.0,520.0,1,1
1930.0,460.0,1,1
1930.0,400.0,1,1
1930.0,340.0,1,1
1930.0,280.0,1,1
1380.0,320.0,1,1
1420.0,280.0,1,1
1510.0,370.0,1,1
1570.0,370.0,1,1
1630.0,370.0,1,1
1690.0,370.0,1,1
1750.0,370.0,1,1
1810.0,370.0,1,1
1870.0,370.0,1,1
2010.0,210.0,1,1
1480.0,170.0,1,1
1550.0,10.0,1,3
1550.0,-30.0,1,1
2090.0,150.0,1,1
2240.0,260.0,1,1
2410.0,360.0,1,1
2550.0,460.0,1,1
2540.0,270.0,1,1
2420.0,180.0,1,1
2610.0,90.0,1,1
2680.0,550.0,1,1
2690.0,370.0,1,1
2700.0,200.0,1,1
2780.0,30.0,1,1
2870.0,290.0,1,1
2830.0,480.0,1,1
2980.0,390.0,1,1
2860.0,150.0,1,1
2970.0,40.0,1,1
3020.0,200.0,1,1
2990.0,560.0,1,1
3150.0,460.0,1,1
3090.0,320.0,1,1
3110.0,110.0,1,1
3220.0,240.0,1,1
3230.0,60.0,1,1
3280.0,390.0,1,1
3260.0,560.0,1,1
3630.0,60.0,1,1
3470.0,100.0,1,1
3760.0,150.0,1,1
3910.0,250.0,1,1
4050.0,500.0,7,1
3513.0,640.0,1,1
4350.0,250.0,1,5
3513.0,640.0,1,1
E4350.0
